Input Prompt,Target Response
value of 15-14?,15-14=1
What is 16x13?,16x13=208
what's2-19?,2-19=-17
value of 4-3?,4-3=1
What is 16x2?,16x2=32
what's10-2?,10-2=8
value of 10/1?,10/1=10.0
value of 13/4?,13/4=3.25
value of 14x9?,14x9=126
" hey, what's20x10?",20x10=200
" hey, what's9-3?",9-3=6
what's13+7?,13+7=20
what's21x18?,21x18=378
" hey, what's8x3?",8x3=24
value of 14+17?,14+17=31
" hey, what's2/1?",2/1=2.0
value of 11+8?,11+8=19
what's21/19?,21/19=1.105263157894737
value of 3-2?,3-2=1
" hey, what's10+11?",10+11=21
" hey, what's14+12?",14+12=26
value of 6/17?,6/17=0.35294117647058826
value of 17/14?,17/14=1.2142857142857142
" hey, what's6+3?",6+3=9
what's14/16?,14/16=0.875
what's12+8?,12+8=20
what's10-3?,10-3=7
" hey, what's2/3?",2/3=0.6666666666666666
what's4+1?,4+1=5
what's4/6?,4/6=0.6666666666666666
" hey, what's3/7?",3/7=0.42857142857142855
" hey, what's4+9?",4+9=13
what's1-16?,1-16=-15
what's15/7?,15/7=2.142857142857143
What is 16/20?,16/20=0.8
what's9+4?,9+4=13
What is 18+1?,18+1=19
value of 21+16?,21+16=37
value of 10/17?,10/17=0.5882352941176471
value of 17/7?,17/7=2.4285714285714284
what's11-15?,11-15=-4
what's6/14?,6/14=0.42857142857142855
" hey, what's6/6?",6/6=1.0
what's13+12?,13+12=25
value of 11-5?,11-5=6
what's10/12?,10/12=0.8333333333333334
value of 12/16?,12/16=0.75
" hey, what's6+11?",6+11=17
value of 20-4?,20-4=16
What is 18/9?,18/9=2.0
value of 4/14?,4/14=0.2857142857142857
what's9-3?,9-3=6
" hey, what's8x10?",8x10=80
value of 2+11?,2+11=13
" hey, what's14/8?",14/8=1.75
" hey, what's20x18?",20x18=360
What is 17x2?,17x2=34
value of 17+7?,17+7=24
What is 20x2?,20x2=40
" hey, what's7+17?",7+17=24
" hey, what's14+2?",14+2=16
" hey, what's3+13?",3+13=16
" hey, what's1/3?",1/3=0.3333333333333333
What is 3/18?,3/18=0.16666666666666666
value of 6-16?,6-16=-10
What is 11/11?,11/11=1.0
What is 4+20?,4+20=24
value of 2x14?,2x14=28
what's11/5?,11/5=2.2
What is 21/12?,21/12=1.75
" hey, what's7x19?",7x19=133
" hey, what's20/4?",20/4=5.0
What is 7-7?,7-7=0
What is 8-20?,8-20=-12
" hey, what's21+19?",21+19=40
what's6+4?,6+4=10
what's18/2?,18/2=9.0
what's9/7?,9/7=1.2857142857142858
value of 2/15?,2/15=0.13333333333333333
What is 18x4?,18x4=72
What is 8/19?,8/19=0.42105263157894735
value of 12+13?,12+13=25
what's4-1?,4-1=3
" hey, what's8/3?",8/3=2.6666666666666665
" hey, what's2-8?",2-8=-6
What is 17-16?,17-16=1
value of 17-18?,17-18=-1
value of 3+10?,3+10=13
what's2/9?,2/9=0.2222222222222222
value of 10x13?,10x13=130
What is 12+16?,12+16=28
" hey, what's12+10?",12+10=22
value of 18+10?,18+10=28
What is 12x10?,12x10=120
What is 1+18?,1+18=19
What is 20-5?,20-5=15
What is 20x20?,20x20=400
" hey, what's10x11?",10x11=110
what's19+14?,19+14=33
value of 1/14?,1/14=0.07142857142857142
What is 10+19?,10+19=29
what's10x18?,10x18=180
what's10-5?,10-5=5
What is 3+12?,3+12=15
What is 15/19?,15/19=0.7894736842105263
What is 9/20?,9/20=0.45
value of 4/20?,4/20=0.2
What is 3-1?,3-1=2
" hey, what's16x13?",16x13=208
What is 9+15?,9+15=24
" hey, what's6+5?",6+5=11
What is 1-11?,1-11=-10
What is 9-13?,9-13=-4
value of 9/16?,9/16=0.5625
what's15+11?,15+11=26
value of 5-18?,5-18=-13
what's14x12?,14x12=168
what's21/12?,21/12=1.75
value of 12-17?,12-17=-5
value of 8/19?,8/19=0.42105263157894735
What is 2x14?,2x14=28
What is 5+3?,5+3=8
what's18/17?,18/17=1.0588235294117647
" hey, what's1-1?",1-1=0
what's21x5?,21x5=105
What is 17x5?,17x5=85
What is 8/20?,8/20=0.4
what's8/11?,8/11=0.7272727272727273
What is 3+15?,3+15=18
" hey, what's19-7?",19-7=12
What is 12/9?,12/9=1.3333333333333333
What is 15x6?,15x6=90
" hey, what's9+7?",9+7=16
What is 6/16?,6/16=0.375
" hey, what's9-4?",9-4=5
value of 8-17?,8-17=-9
what's11/10?,11/10=1.1
What is 19/8?,19/8=2.375
" hey, what's15+1?",15+1=16
What is 15-11?,15-11=4
What is 21+6?,21+6=27
" hey, what's1+12?",1+12=13
value of 10+7?,10+7=17
what's18/16?,18/16=1.125
value of 16+4?,16+4=20
what's15/20?,15/20=0.75
What is 6/11?,6/11=0.5454545454545454
" hey, what's20-5?",20-5=15
What is 5x11?,5x11=55
value of 21x18?,21x18=378
value of 14+3?,14+3=17
what's13+17?,13+17=30
value of 3-20?,3-20=-17
value of 4-11?,4-11=-7
What is 5-9?,5-9=-4
value of 20-9?,20-9=11
value of 4+20?,4+20=24
" hey, what's10+18?",10+18=28
" hey, what's8/2?",8/2=4.0
What is 6-12?,6-12=-6
what's8+5?,8+5=13
What is 5x19?,5x19=95
what's13+19?,13+19=32
value of 15-2?,15-2=13
what's6/18?,6/18=0.3333333333333333
What is 15/6?,15/6=2.5
What is 6-5?,6-5=1
What is 11+14?,11+14=25
What is 16x14?,16x14=224
" hey, what's12/16?",12/16=0.75
what's21x6?,21x6=126
what's6+18?,6+18=24
" hey, what's18x1?",18x1=18
" hey, what's8/13?",8/13=0.6153846153846154
" hey, what's20-8?",20-8=12
value of 6+16?,6+16=22
" hey, what's16/17?",16/17=0.9411764705882353
What is 8+12?,8+12=20
What is 4/18?,4/18=0.2222222222222222
What is 7+10?,7+10=17
what's2x3?,2x3=6
What is 4-15?,4-15=-11
value of 21-11?,21-11=10
value of 8+2?,8+2=10
" hey, what's16+5?",16+5=21
value of 6x1?,6x1=6
value of 13x20?,13x20=260
what's17+15?,17+15=32
what's17+20?,17+20=37
" hey, what's17-9?",17-9=8
" hey, what's10/15?",10/15=0.6666666666666666
What is 4+19?,4+19=23
value of 20/19?,20/19=1.0526315789473684
value of 1/15?,1/15=0.06666666666666667
what's9/17?,9/17=0.5294117647058824
value of 14x18?,14x18=252
what's12-4?,12-4=8
What is 11/13?,11/13=0.8461538461538461
value of 12-4?,12-4=8
value of 7x3?,7x3=21
value of 10/13?,10/13=0.7692307692307693
what's20-20?,20-20=0
What is 19+2?,19+2=21
What is 15-2?,15-2=13
What is 1x2?,1x2=2
value of 21x14?,21x14=294
" hey, what's11x16?",11x16=176
What is 14x19?,14x19=266
What is 12x3?,12x3=36
" hey, what's15/2?",15/2=7.5
what's20+19?,20+19=39
what's19-4?,19-4=15
value of 10-1?,10-1=9
" hey, what's12/12?",12/12=1.0
value of 5-11?,5-11=-6
value of 18+11?,18+11=29
value of 4/6?,4/6=0.6666666666666666
" hey, what's18-14?",18-14=4
" hey, what's4-1?",4-1=3
what's8x9?,8x9=72
What is 12/4?,12/4=3.0
What is 17+7?,17+7=24
what's3x5?,3x5=15
value of 6/8?,6/8=0.75
" hey, what's16/4?",16/4=4.0
What is 3/2?,3/2=1.5
value of 15+10?,15+10=25
what's7/7?,7/7=1.0
value of 16+1?,16+1=17
" hey, what's15/14?",15/14=1.0714285714285714
What is 20/2?,20/2=10.0
what's7/11?,7/11=0.6363636363636364
value of 16x4?,16x4=64
what's2-11?,2-11=-9
" hey, what's14/13?",14/13=1.0769230769230769
What is 2+19?,2+19=21
What is 20x17?,20x17=340
value of 5-8?,5-8=-3
What is 20/15?,20/15=1.3333333333333333
What is 21/10?,21/10=2.1
" hey, what's7/20?",7/20=0.35
" hey, what's8-11?",8-11=-3
" hey, what's13/20?",13/20=0.65
" hey, what's9-10?",9-10=-1
What is 21/3?,21/3=7.0
what's15/17?,15/17=0.8823529411764706
What is 10/9?,10/9=1.1111111111111112
what's8x14?,8x14=112
" hey, what's15/5?",15/5=3.0
value of 2x2?,2x2=4
what's21x2?,21x2=42
what's11+4?,11+4=15
what's15/13?,15/13=1.1538461538461537
" hey, what's3+10?",3+10=13
value of 14+18?,14+18=32
What is 21x16?,21x16=336
what's9x19?,9x19=171
what's4/14?,4/14=0.2857142857142857
what's14+14?,14+14=28
value of 18-14?,18-14=4
value of 20+6?,20+6=26
What is 12-12?,12-12=0
What is 2-13?,2-13=-11
What is 13/20?,13/20=0.65
" hey, what's5x12?",5x12=60
" hey, what's12+20?",12+20=32
" hey, what's19/2?",19/2=9.5
" hey, what's16/6?",16/6=2.6666666666666665
" hey, what's2+4?",2+4=6
what's6x16?,6x16=96
What is 12x2?,12x2=24
value of 4x3?,4x3=12
what's21/11?,21/11=1.9090909090909092
what's1x6?,1x6=6
What is 16x3?,16x3=48
value of 2-16?,2-16=-14
What is 2/14?,2/14=0.14285714285714285
value of 13/5?,13/5=2.6
" hey, what's2/7?",2/7=0.2857142857142857
What is 20-7?,20-7=13
What is 12/16?,12/16=0.75
what's18+10?,18+10=28
value of 17-6?,17-6=11
What is 3+19?,3+19=22
What is 4+2?,4+2=6
" hey, what's7/13?",7/13=0.5384615384615384
value of 19/7?,19/7=2.7142857142857144
What is 8-7?,8-7=1
what's4x18?,4x18=72
what's21-3?,21-3=18
value of 19/2?,19/2=9.5
" hey, what's8/8?",8/8=1.0
what's1+4?,1+4=5
what's7+18?,7+18=25
" hey, what's1+16?",1+16=17
" hey, what's9-1?",9-1=8
what's8/2?,8/2=4.0
what's2/15?,2/15=0.13333333333333333
What is 10/13?,10/13=0.7692307692307693
What is 3+10?,3+10=13
what's8+7?,8+7=15
" hey, what's17-4?",17-4=13
What is 8x11?,8x11=88
What is 4-2?,4-2=2
value of 12-2?,12-2=10
" hey, what's1/15?",1/15=0.06666666666666667
" hey, what's20x7?",20x7=140
what's8+12?,8+12=20
" hey, what's21+18?",21+18=39
what's3/13?,3/13=0.23076923076923078
What is 3/10?,3/10=0.3
" hey, what's10/19?",10/19=0.5263157894736842
" hey, what's6-13?",6-13=-7
value of 11-3?,11-3=8
What is 16-13?,16-13=3
What is 4-18?,4-18=-14
What is 14+14?,14+14=28
what's2x9?,2x9=18
" hey, what's12/3?",12/3=4.0
what's19-15?,19-15=4
" hey, what's16-1?",16-1=15
" hey, what's16-17?",16-17=-1
What is 20-16?,20-16=4
What is 8-9?,8-9=-1
" hey, what's6+17?",6+17=23
value of 8x10?,8x10=80
" hey, what's10x4?",10x4=40
what's19-5?,19-5=14
what's5x2?,5x2=10
value of 9-20?,9-20=-11
what's19/16?,19/16=1.1875
value of 10+14?,10+14=24
What is 20-9?,20-9=11
value of 1/4?,1/4=0.25
" hey, what's6/17?",6/17=0.35294117647058826
value of 17/15?,17/15=1.1333333333333333
" hey, what's19/7?",19/7=2.7142857142857144
" hey, what's6/14?",6/14=0.42857142857142855
" hey, what's19+18?",19+18=37
" hey, what's5x1?",5x1=5
what's15+1?,15+1=16
what's4x11?,4x11=44
value of 8/17?,8/17=0.47058823529411764
What is 7+14?,7+14=21
value of 17-1?,17-1=16
what's4/18?,4/18=0.2222222222222222
what's3/11?,3/11=0.2727272727272727
what's6/20?,6/20=0.3
value of 5+12?,5+12=17
What is 17x1?,17x1=17
what's2/11?,2/11=0.18181818181818182
value of 16-4?,16-4=12
" hey, what's20/13?",20/13=1.5384615384615385
value of 6+6?,6+6=12
" hey, what's2-18?",2-18=-16
what's18x5?,18x5=90
What is 13+11?,13+11=24
" hey, what's12-6?",12-6=6
value of 6/20?,6/20=0.3
" hey, what's2+7?",2+7=9
" hey, what's21-6?",21-6=15
what's14-20?,14-20=-6
" hey, what's19x6?",19x6=114
" hey, what's8/15?",8/15=0.5333333333333333
What is 3x10?,3x10=30
" hey, what's14+18?",14+18=32
what's4+5?,4+5=9
" hey, what's1-9?",1-9=-8
value of 18/16?,18/16=1.125
" hey, what's21+6?",21+6=27
value of 15/17?,15/17=0.8823529411764706
" hey, what's20+17?",20+17=37
value of 17x13?,17x13=221
What is 6/6?,6/6=1.0
What is 3/1?,3/1=3.0
" hey, what's20+20?",20+20=40
what's11x13?,11x13=143
What is 12-6?,12-6=6
what's9x15?,9x15=135
what's9-14?,9-14=-5
value of 11-20?,11-20=-9
What is 2x2?,2x2=4
what's13+14?,13+14=27
" hey, what's17+14?",17+14=31
what's17+13?,17+13=30
" hey, what's8-8?",8-8=0
what's15-5?,15-5=10
" hey, what's17/12?",17/12=1.4166666666666667
" hey, what's6/5?",6/5=1.2
What is 10/16?,10/16=0.625
what's6-8?,6-8=-2
" hey, what's15-12?",15-12=3
What is 11x3?,11x3=33
value of 20+14?,20+14=34
what's21-8?,21-8=13
value of 19/16?,19/16=1.1875
value of 21-14?,21-14=7
value of 17/9?,17/9=1.8888888888888888
value of 4-12?,4-12=-8
" hey, what's6x5?",6x5=30
value of 2-4?,2-4=-2
" hey, what's19+5?",19+5=24
what's21-19?,21-19=2
" hey, what's18/10?",18/10=1.8
what's18+6?,18+6=24
what's6x12?,6x12=72
What is 19+11?,19+11=30
" hey, what's9-15?",9-15=-6
What is 12/1?,12/1=12.0
" hey, what's20x19?",20x19=380
value of 13x14?,13x14=182
What is 16+20?,16+20=36
" hey, what's10-10?",10-10=0
" hey, what's19+13?",19+13=32
" hey, what's10+13?",10+13=23
" hey, what's9x18?",9x18=162
What is 21x17?,21x17=357
" hey, what's17/10?",17/10=1.7
what's21x10?,21x10=210
what's15-11?,15-11=4
What is 7-11?,7-11=-4
what's4+15?,4+15=19
What is 16x12?,16x12=192
What is 20+19?,20+19=39
What is 5x5?,5x5=25
value of 13-10?,13-10=3
" hey, what's20-20?",20-20=0
value of 9+9?,9+9=18
What is 21/4?,21/4=5.25
value of 7x17?,7x17=119
" hey, what's6/7?",6/7=0.8571428571428571
" hey, what's10x6?",10x6=60
what's16/8?,16/8=2.0
What is 8x3?,8x3=24
" hey, what's2+3?",2+3=5
" hey, what's18-20?",18-20=-2
" hey, what's7+8?",7+8=15
" hey, what's12-10?",12-10=2
value of 18-15?,18-15=3
what's19/1?,19/1=19.0
What is 20x6?,20x6=120
value of 2/2?,2/2=1.0
what's19/3?,19/3=6.333333333333333
What is 18-10?,18-10=8
What is 3+5?,3+5=8
value of 15+9?,15+9=24
What is 18/13?,18/13=1.3846153846153846
" hey, what's13+1?",13+1=14
What is 12x1?,12x1=12
" hey, what's18-16?",18-16=2
what's7+6?,7+6=13
value of 2+18?,2+18=20
What is 8-5?,8-5=3
what's20+7?,20+7=27
what's16-19?,16-19=-3
" hey, what's20+11?",20+11=31
" hey, what's10-18?",10-18=-8
" hey, what's14x8?",14x8=112
" hey, what's1/1?",1/1=1.0
value of 4/16?,4/16=0.25
" hey, what's4/19?",4/19=0.21052631578947367
What is 14x4?,14x4=56
value of 3+18?,3+18=21
" hey, what's8/7?",8/7=1.1428571428571428
value of 19x16?,19x16=304
" hey, what's13-20?",13-20=-7
value of 11/16?,11/16=0.6875
what's5+15?,5+15=20
what's10+2?,10+2=12
What is 9+6?,9+6=15
value of 19+11?,19+11=30
what's5/7?,5/7=0.7142857142857143
" hey, what's8+17?",8+17=25
" hey, what's14-17?",14-17=-3
What is 7+17?,7+17=24
" hey, what's14-11?",14-11=3
value of 6+3?,6+3=9
value of 18-13?,18-13=5
" hey, what's16-15?",16-15=1
what's11-16?,11-16=-5
" hey, what's11x9?",11x9=99
value of 7/2?,7/2=3.5
value of 1/10?,1/10=0.1
" hey, what's2-19?",2-19=-17
" hey, what's5x16?",5x16=80
what's10-9?,10-9=1
" hey, what's19+2?",19+2=21
what's19+4?,19+4=23
" hey, what's7-18?",7-18=-11
What is 4-5?,4-5=-1
" hey, what's19-9?",19-9=10
What is 8x6?,8x6=48
" hey, what's6/16?",6/16=0.375
" hey, what's13x6?",13x6=78
value of 16-3?,16-3=13
what's21-20?,21-20=1
" hey, what's13x8?",13x8=104
What is 8-8?,8-8=0
what's18+1?,18+1=19
" hey, what's9/17?",9/17=0.5294117647058824
value of 18x9?,18x9=162
" hey, what's12/4?",12/4=3.0
What is 10x11?,10x11=110
What is 20/14?,20/14=1.4285714285714286
value of 4-18?,4-18=-14
" hey, what's2-2?",2-2=0
" hey, what's15/13?",15/13=1.1538461538461537
What is 10x2?,10x2=20
What is 13-18?,13-18=-5
value of 4-15?,4-15=-11
" hey, what's19/14?",19/14=1.3571428571428572
What is 6-18?,6-18=-12
" hey, what's9+6?",9+6=15
value of 21+17?,21+17=38
" hey, what's12x12?",12x12=144
value of 10/6?,10/6=1.6666666666666667
what's20/2?,20/2=10.0
value of 9/12?,9/12=0.75
What is 14-16?,14-16=-2
" hey, what's17-16?",17-16=1
what's12x17?,12x17=204
What is 14-20?,14-20=-6
what's12+14?,12+14=26
what's21-9?,21-9=12
What is 13/17?,13/17=0.7647058823529411
what's9-17?,9-17=-8
what's15/18?,15/18=0.8333333333333334
" hey, what's15/3?",15/3=5.0
what's11/1?,11/1=11.0
" hey, what's21-13?",21-13=8
What is 8-3?,8-3=5
" hey, what's17+16?",17+16=33
what's5x7?,5x7=35
value of 18/2?,18/2=9.0
value of 6+8?,6+8=14
" hey, what's10+12?",10+12=22
" hey, what's6/13?",6/13=0.46153846153846156
What is 15x15?,15x15=225
what's1x5?,1x5=5
" hey, what's4/15?",4/15=0.26666666666666666
What is 11x19?,11x19=209
" hey, what's11x4?",11x4=44
what's5x9?,5x9=45
What is 10/14?,10/14=0.7142857142857143
What is 6/17?,6/17=0.35294117647058826
value of 20-3?,20-3=17
what's5/6?,5/6=0.8333333333333334
value of 17-20?,17-20=-3
What is 12-14?,12-14=-2
" hey, what's11/8?",11/8=1.375
what's1x10?,1x10=10
" hey, what's5+6?",5+6=11
what's14+5?,14+5=19
value of 6x3?,6x3=18
what's3/6?,3/6=0.5
what's21-6?,21-6=15
What is 17-19?,17-19=-2
what's19/2?,19/2=9.5
value of 8-2?,8-2=6
What is 14x9?,14x9=126
value of 14/12?,14/12=1.1666666666666667
what's12x6?,12x6=72
value of 19/19?,19/19=1.0
what's10/17?,10/17=0.5882352941176471
value of 13-6?,13-6=7
value of 18/8?,18/8=2.25
" hey, what's1/12?",1/12=0.08333333333333333
" hey, what's17x19?",17x19=323
what's3x1?,3x1=3
" hey, what's19+3?",19+3=22
" hey, what's9/10?",9/10=0.9
value of 16/6?,16/6=2.6666666666666665
value of 17+13?,17+13=30
" hey, what's1+3?",1+3=4
what's11+14?,11+14=25
What is 9x12?,9x12=108
What is 4x6?,4x6=24
What is 15/1?,15/1=15.0
" hey, what's10x12?",10x12=120
What is 7+13?,7+13=20
value of 4x18?,4x18=72
What is 17+5?,17+5=22
value of 19-1?,19-1=18
What is 11x4?,11x4=44
value of 7/5?,7/5=1.4
value of 20x11?,20x11=220
What is 4x4?,4x4=16
what's13+3?,13+3=16
What is 10-7?,10-7=3
" hey, what's5x15?",5x15=75
" hey, what's17-3?",17-3=14
What is 18x5?,18x5=90
What is 1x12?,1x12=12
What is 4/3?,4/3=1.3333333333333333
what's5-3?,5-3=2
" hey, what's9x1?",9x1=9
" hey, what's17/13?",17/13=1.3076923076923077
" hey, what's14x6?",14x6=84
" hey, what's16+14?",16+14=30
value of 21x4?,21x4=84
what's10+3?,10+3=13
value of 7-17?,7-17=-10
" hey, what's13x5?",13x5=65
What is 3-14?,3-14=-11
What is 18-14?,18-14=4
what's5x1?,5x1=5
" hey, what's1-19?",1-19=-18
" hey, what's21+11?",21+11=32
value of 2+15?,2+15=17
What is 18-4?,18-4=14
What is 7+6?,7+6=13
What is 11-13?,11-13=-2
" hey, what's18/4?",18/4=4.5
What is 8/8?,8/8=1.0
value of 18+3?,18+3=21
what's2x19?,2x19=38
what's16-13?,16-13=3
" hey, what's15x14?",15x14=210
What is 16/11?,16/11=1.4545454545454546
value of 19x3?,19x3=57
value of 8-14?,8-14=-6
What is 20-17?,20-17=3
value of 12x13?,12x13=156
value of 1/17?,1/17=0.058823529411764705
What is 19/10?,19/10=1.9
What is 6+9?,6+9=15
" hey, what's9+10?",9+10=19
What is 7-4?,7-4=3
" hey, what's19-13?",19-13=6
" hey, what's13-16?",13-16=-3
What is 6/10?,6/10=0.6
" hey, what's16x12?",16x12=192
value of 18x19?,18x19=342
" hey, what's17x8?",17x8=136
value of 9-8?,9-8=1
What is 10x1?,10x1=10
" hey, what's5+11?",5+11=16
" hey, what's10+17?",10+17=27
" hey, what's2+14?",2+14=16
" hey, what's13/6?",13/6=2.1666666666666665
" hey, what's10/8?",10/8=1.25
what's1x18?,1x18=18
What is 2x3?,2x3=6
value of 10x19?,10x19=190
What is 9/5?,9/5=1.8
what's10/2?,10/2=5.0
what's10-8?,10-8=2
value of 1/16?,1/16=0.0625
value of 10-9?,10-9=1
What is 14+10?,14+10=24
What is 1+9?,1+9=10
what's2-4?,2-4=-2
value of 4-20?,4-20=-16
" hey, what's16/15?",16/15=1.0666666666666667
value of 18-20?,18-20=-2
what's13x7?,13x7=91
what's11/6?,11/6=1.8333333333333333
what's6-12?,6-12=-6
what's14-2?,14-2=12
What is 6-1?,6-1=5
what's18+2?,18+2=20
" hey, what's6/3?",6/3=2.0
what's8x6?,8x6=48
What is 4x7?,4x7=28
What is 8x17?,8x17=136
what's8x10?,8x10=80
what's8x12?,8x12=96
What is 16x10?,16x10=160
value of 9-16?,9-16=-7
value of 20-6?,20-6=14
What is 13/15?,13/15=0.8666666666666667
What is 14/8?,14/8=1.75
value of 21x1?,21x1=21
value of 15x16?,15x16=240
" hey, what's12x1?",12x1=12
What is 19-10?,19-10=9
value of 13+6?,13+6=19
value of 16+17?,16+17=33
" hey, what's7/2?",7/2=3.5
" hey, what's13/15?",13/15=0.8666666666666667
what's11+11?,11+11=22
What is 12/10?,12/10=1.2
What is 2+6?,2+6=8
" hey, what's4-19?",4-19=-15
What is 12-10?,12-10=2
what's18+9?,18+9=27
What is 16+3?,16+3=19
What is 19-2?,19-2=17
what's7-16?,7-16=-9
What is 20x13?,20x13=260
what's18-5?,18-5=13
What is 11-4?,11-4=7
value of 3/14?,3/14=0.21428571428571427
What is 12-13?,12-13=-1
" hey, what's17/6?",17/6=2.8333333333333335
What is 8+6?,8+6=14
what's7x12?,7x12=84
" hey, what's1/9?",1/9=0.1111111111111111
" hey, what's4x16?",4x16=64
What is 15-12?,15-12=3
what's5+11?,5+11=16
What is 13/7?,13/7=1.8571428571428572
value of 3-16?,3-16=-13
value of 9+16?,9+16=25
what's16+17?,16+17=33
what's12x4?,12x4=48
what's17-7?,17-7=10
" hey, what's15-18?",15-18=-3
what's14x18?,14x18=252
" hey, what's17+20?",17+20=37
" hey, what's17x11?",17x11=187
what's3/18?,3/18=0.16666666666666666
value of 4x16?,4x16=64
what's21/17?,21/17=1.2352941176470589
value of 1/6?,1/6=0.16666666666666666
What is 1/10?,1/10=0.1
" hey, what's21/18?",21/18=1.1666666666666667
What is 18x18?,18x18=324
what's6/5?,6/5=1.2
" hey, what's2x11?",2x11=22
" hey, what's13/18?",13/18=0.7222222222222222
what's16+10?,16+10=26
What is 3x7?,3x7=21
value of 6+5?,6+5=11
value of 3-14?,3-14=-11
value of 12x17?,12x17=204
value of 12x7?,12x7=84
What is 7x17?,7x17=119
What is 2+7?,2+7=9
value of 10-3?,10-3=7
" hey, what's7+3?",7+3=10
" hey, what's11+15?",11+15=26
What is 2-15?,2-15=-13
value of 16x10?,16x10=160
what's4-7?,4-7=-3
What is 14/2?,14/2=7.0
What is 13x3?,13x3=39
value of 10+8?,10+8=18
value of 20+10?,20+10=30
what's12+15?,12+15=27
what's12/7?,12/7=1.7142857142857142
What is 1x20?,1x20=20
what's2/17?,2/17=0.11764705882352941
What is 14+3?,14+3=17
" hey, what's10+19?",10+19=29
value of 17x8?,17x8=136
What is 15+1?,15+1=16
what's9/2?,9/2=4.5
value of 2/11?,2/11=0.18181818181818182
value of 8x8?,8x8=64
What is 8x13?,8x13=104
" hey, what's19x2?",19x2=38
What is 5x14?,5x14=70
" hey, what's11/9?",11/9=1.2222222222222223
what's9+16?,9+16=25
value of 12+8?,12+8=20
what's20+10?,20+10=30
value of 9+7?,9+7=16
what's16/4?,16/4=4.0
value of 10+12?,10+12=22
" hey, what's9/6?",9/6=1.5
what's10+15?,10+15=25
" hey, what's19-15?",19-15=4
value of 15x11?,15x11=165
What is 16x20?,16x20=320
what's1+11?,1+11=12
what's5-13?,5-13=-8
What is 1/18?,1/18=0.05555555555555555
What is 17-5?,17-5=12
What is 13-8?,13-8=5
What is 14-11?,14-11=3
what's15/12?,15/12=1.25
value of 7x12?,7x12=84
What is 20+14?,20+14=34
value of 6+1?,6+1=7
value of 1+20?,1+20=21
value of 9+18?,9+18=27
what's3-7?,3-7=-4
value of 9-18?,9-18=-9
value of 3/8?,3/8=0.375
What is 6/18?,6/18=0.3333333333333333
" hey, what's15/7?",15/7=2.142857142857143
value of 3+6?,3+6=9
What is 18-12?,18-12=6
" hey, what's13x17?",13x17=221
value of 20x3?,20x3=60
" hey, what's7x10?",7x10=70
what's6x8?,6x8=48
value of 7-16?,7-16=-9
" hey, what's18+17?",18+17=35
" hey, what's8+6?",8+6=14
What is 17x3?,17x3=51
" hey, what's11x13?",11x13=143
value of 11/10?,11/10=1.1
" hey, what's10/1?",10/1=10.0
what's14-17?,14-17=-3
" hey, what's8+16?",8+16=24
value of 10+17?,10+17=27
what's8/6?,8/6=1.3333333333333333
What is 14x10?,14x10=140
value of 1x15?,1x15=15
What is 20+20?,20+20=40
" hey, what's15-16?",15-16=-1
What is 9x3?,9x3=27
What is 2/9?,2/9=0.2222222222222222
what's1-17?,1-17=-16
What is 14/19?,14/19=0.7368421052631579
What is 5+19?,5+19=24
what's13-6?,13-6=7
what's16x11?,16x11=176
what's11-6?,11-6=5
What is 17+8?,17+8=25
what's15x13?,15x13=195
what's12+5?,12+5=17
What is 13x6?,13x6=78
What is 7/15?,7/15=0.4666666666666667
what's19+9?,19+9=28
value of 2/8?,2/8=0.25
What is 1/8?,1/8=0.125
value of 1-13?,1-13=-12
" hey, what's9/5?",9/5=1.8
What is 16+10?,16+10=26
" hey, what's9+8?",9+8=17
" hey, what's21+4?",21+4=25
" hey, what's13x16?",13x16=208
what's11+5?,11+5=16
" hey, what's11+20?",11+20=31
what's20+3?,20+3=23
what's2x7?,2x7=14
" hey, what's3/1?",3/1=3.0
value of 19/18?,19/18=1.0555555555555556
value of 19+15?,19+15=34
" hey, what's1x1?",1x1=1
what's4-13?,4-13=-9
What is 14x14?,14x14=196
what's20/15?,20/15=1.3333333333333333
what's5/10?,5/10=0.5
What is 5+14?,5+14=19
" hey, what's4-7?",4-7=-3
what's6-10?,6-10=-4
what's19+5?,19+5=24
What is 20+1?,20+1=21
what's13-15?,13-15=-2
what's3/16?,3/16=0.1875
What is 9x5?,9x5=45
value of 16-16?,16-16=0
value of 13/17?,13/17=0.7647058823529411
What is 19x17?,19x17=323
" hey, what's21+13?",21+13=34
What is 12x11?,12x11=132
what's17+14?,17+14=31
What is 10-8?,10-8=2
What is 5-19?,5-19=-14
What is 19/19?,19/19=1.0
What is 14-17?,14-17=-3
value of 12/2?,12/2=6.0
" hey, what's20x1?",20x1=20
What is 19+20?,19+20=39
" hey, what's3+17?",3+17=20
value of 13/18?,13/18=0.7222222222222222
What is 15+13?,15+13=28
value of 21-9?,21-9=12
" hey, what's9-8?",9-8=1
" hey, what's6/20?",6/20=0.3
" hey, what's17/9?",17/9=1.8888888888888888
" hey, what's12-12?",12-12=0
what's12+20?,12+20=32
value of 5+20?,5+20=25
what's17+3?,17+3=20
value of 19+18?,19+18=37
What is 8x14?,8x14=112
value of 19+12?,19+12=31
value of 5x16?,5x16=80
value of 18+5?,18+5=23
what's20+17?,20+17=37
" hey, what's17x2?",17x2=34
What is 17+15?,17+15=32
value of 8/2?,8/2=4.0
